,Rating,Review
0,1,"This is not a dystopia, it is a romance. This is not a novel, it is a collection of similes and metaphors, most of which do not make sense. I originally gave Shatter Me two stars because that's my sort of kneejerk reaction to books I don't like, but after thinking it over for a while, I can't recall anything positive about it that would justify a rating of more than one star.You're probably assuming - correctly - that I went into this book with low expectations. This is completely true. Any so-called ""dystopia"" with a runway model on the front cover leaves me feeling sceptical. However, I was also prepared to allow myself to be surprised; a lot of my friends loved this and one of the biggest criticisms didn't actually bother me - purple prose. I think there's a fine line in writing between the pretty and the purplish and different readers will define it in their own way. For example, some reviewers thought that Lips Touch: Three Times was just a mess of bloated purple prose, whereas I thought it was one of the most beautiful books I read last year. I have a high tolerance level for flowery writing. But...Shatter Me's numerous metaphors, similes, and endless descriptions just didn't make sense. What is this?:""Hate looks like everybody else until it smiles. Until it spins around and lies with lips and teeth carved into semblance of something too passive to punch.""I just... WHAT??? This is one example floating around in there, but every second sentence is like this! That's not even mentioning the annoying strike-outs. Trust me, no really, trust me, I thought people were being overly picky when they said the crossed out sentences were annoying. I actually thought it sounded interesting, unusual, especially because the whole thing is meant to be written in a notebook and I cross stuff out in mine all the time. But you have no idea how bloody annoying this is to read. All the effin' time. People didn't exaggerate: it will most likely drive you crazy.However, there was one thing that for me was even more annoying than the descriptions, the similes, the strikes, and that was the stupid repetition thing: ""and then and then and then..."" Again, if it had been used once, or sparingly even, then it wouldn't be so bad. I may have thought it was an interesting literary technique. But Shatter Me had way way way too much of everything (see what I did there?).And story? What story? *sigh* It's about time we just opened up an entirely new genre called ""Dystopian Romance"" or alternatively ""Romantic Dystopia"", though I don't wish to be pessimistic, I'm pretty sure half the new releases of 2012 will make it into that category. If there was a story then it drowned amidst the waves of overenthusiastic and flowery prose. This reminded me of Article 5 in that the dystopia was there to make the romance interesting. One was certainly there to complement the other, but it was the wrong way around.Also... kissing when you are fleeing for your lives?? I'm sure this is not the correct way of things, right? And yet it occurs in way too many young adult books. I'm like: ""run, run, run!"" but the characters are too busy swapping saliva. I must be old-fashioned in my thinking that staying alive is kinda important.There are a lot of things that, had they been there, could have convinced me to up this to two stars. One star ratings make me feel sucky. But I'm sorry guys, I wasn't even entertained. The beginning was intriguing but there was so little plot beyond the romance that it quickly became tedious. I hated the prose, I felt nothing either way for the characters, this series ends here for me."
1,1,"I know many found this book to have a very unique writing style, but I can't help but think how terrible and awkwardly written it was. The writing:Mafi's style of writing varies. Let me categorize.This doesn't even make sense writing:""I catch the rose petals as they fall from my cheeks, as they float around the frame of my body, as they cover me in something that feels like the absence of courage.""""He says it with a small smile the size of Jupiter.""I'm picturing this in my head and it's not pretty writing:""Every organ in my body falls to the ground.""""There are 400 cotton balls caught in my windpipe.""""My mouth is sitting on my kneecaps.""""My jaw is dangling from my shoelace.""""My stomach drops onto my knees.""""I blush through my bones.""""My spine is conducting enough electricity to power a city.""Repetition gone wrong writing:""I blush.""""I blush.""""His lips part. Close.""""I blush.""""I blush.""""His lips part. Close.""""I blush.""""I blush.""""His lips part. Close."" Really just shit writing in general writing:""I am an old creaky staircase when I wake up.""""Warner thinks Adam is a cardboard cutout of vanilla regurgitations."" Do I need to explain how shitty this writing is? And yes, before people yell at me and tell me that I don't understand metaphors... I do. But the excessive use of them and just metaphors themselves are maybe not my thing. The characters:Juliette does nothing but sulk around, wait for death, and whine. I saw no potential of her growing.Adam is just there...Warner is just... almost there? I must admit that a few times, he had potential to be a good character. I thought he was the only character that brought something. He made me cringe. He made me angry, made me feel uncomfortable. He was getting there. At least then I felt like he had some sort of purpose in this story. Then he would say something so cheesy, so inconsistent with his character, and just downright stupid that I lost all hope in him.Kenji was just fucking annoying. The plot:Besides Juliette's constant whining and lameness and the cringeworthy romances, this story was just a sadder and lamer version of X-Men. It had too many X-Men vibes going on. On the whole:Mafi, if you wanted to capture me with I'm just trying way too hard to sound cool unique prose, thinking that if you repeated phrases fifty times every once in a while, had painful metaphors, and an unnecessary abundance of irritating striking texts, then *reads acknowledgments*You've filled my days with shooting stars, and one day I will pluck the moon from the sky and put it in your mailbox.She speaks like that in real life...?"
2,0,"MY PRECIOUS IS NOW SIGNED BY TAHEREH!!! I can die of happiness now <3 In case y'all didn't know, not only was this book optioned by Warner Bros as a movie, it has now been optioned as a TV SHOW BY ABC STUDIOS -with Tahereh as a producer.This better happen. I am not joking. I am tired of great books (cough, cough: The Song of the Lioness Quartet and The Dust Lands Trilogy: Blood Red Road; Rebel Heart; Raging Star) not becoming movies or TV shows after they are optioned. Dear book gods (and I know you exist because you inspired Tahereh to write this series), make this real. Yes, I know TV/movies don't always make great adaptations and the books are 99.9% of the time better, but please do it anyway. Because I need this.Oh, and if you decide to cast Alex Pettyfer as Warner I would be cool with that.Original fan-girl praise (because I am incapable of actually writing a true unbiased, unaffected review for this series):Okay, I have not properly reviewed this series since I read it a year ago (and I don't think I ever can because it would be ridiculously long and the book is so quotable that I would literally be citing the entire thing) but Shatter Me is one of my favorite series of ALL TIME. And it has my FAVORITE LOVE INTEREST of ANY BOOK I'VE EVER READ. Butttt, to anyone considering it, watch this: http://youtu.be/dJt-lGmBSTs. I just found that fan video the other day and I can't stop watching it. I'm sorry but if that doesn't make you want to read this book you do not have a soul. READ. THIS. BOOK. You will either love it or hate it (depending on how you feel about prose) but if you love it than O.M.G. you will love it like you've loved nothing else.Oh, and for those of you who have already read the series: TeamWarner. TeamWarner. TeamOhMyGawdILoveHimWarner!!! PS this review basically is a dedication to Alex Pettyfer as Warner. YOU ARE WELCOME."
3,2,"Juliette describing Adam’s eyes“...perfect shade of cobalt, blue like a blossoming bruise, clear and deep and decided”“…careful, curious”“… 2 buckets of rainwater; deep, fresh, clear”“…blue and bottomless like the deepest part of the ocean”“…tight” “…as tight as his fists as tight as the strain in his arms”“…bottomless blue”“…blue blue blue”“…midnight moment filled with memories, the only windows into my world”“… always shining the darkness”“…two pools of perfection, open, honest, humble”“…a shade of blue in a midnight sky”Juliette describing Adam’s gaze“…like a white-hot poker pressed against my skin”“…touching every inch of my body”“…locked into mine”“… is fixed on me: calm, unflappable; 2 buckets of river water at midnight. I’d like to cry into his eyes”I’ve never been a purple prose type of girl. A book that will forever remain nameless spoke of “leaking wombs” and well it made me shiver. It also introduced me to the entire concept of purple prose. Prose can be beautiful. I’ve read plenty of books where the writing touches me deeply and the author is simply writing about the sunset, or a walk in the park, or the plight of the poor. If the author is able to actually tell a story without distracting the reader with the prose, I’m all for it. That is not the case with “Shatter Me”. “Shatter Me” was like my first attempt at cooking a turkey  over-done. It was  like climbing Mount Everest  tiring, watching kids play outside your window while you are taking a test  distracting, and my dog throwing his bone at me silly. At some point, I was drowning, desperately searching for land overwhelmed by the prose and eager for the story. And don’t get me started about the crossing out of passages in the book. It was irritating,  annoying stupid  a cheap trick  dumb, something I did not enjoy. Overall-I won’t read the next book.I might read the next book if I get a free copy.I’m curious to see where the author can go since it is clear that she can write. I think someone needed to  put a leash on the over playful puppy edit her prose down to a more controllable level so that people could enjoy the story rather than cringe with every every every  regurgitation  eruption  spewing  listen you need to stop crossing me off or I’m gonna sick some nasty virus on your ass incident of prose. "
4,1,"I deserve a medal for finishing this book.Like, the Olympic gold medal in the Anti-DNF Games, people. *Rant Ahead*It took me three months to finish this book.THREE. (Not 3, Miss Mafi)Now, normally, I would have tossed this book out the window like an overwrought Silver Linings Playbook Bradley Cooper, being that I AM the queen of the heartless page 15 DNF; however, I find that I have a harder time DNFing something when I am 1) Reading a physical copy as opposed to a digital copy, and 2) When I already OWN books two and three and am hoping to FUCK I didn't waste my money. That said, this book annoyed me on several different levels. 1) Juliette's ""power"" or ""glitch"" or whatever the hell it is, is never fully explained in detail. It's skirted around in a mass of overwrought metaphors and complete bullshit. 2) Said overwrought metaphors.3) The writing itself in general. Despite having a degree in English and Literature, I am usually pretty easygoing about typos and grammar, especially when it comes to self-published stuff. I mean just LOOK at the slang and vernacular I use in my reviews. I am NOT a hard ass about this stuff. HOWEVER.When I am holding a professionally published, FINISHED copy of a mass produced book and it contains strikeouts, sentences starting in lowercase letters, and numbers one through ten incorrectly placed in number form, e.g., ""Juliette has 2 hands and 0 1 brain,"" my inner grammar maven's granny panties get twisted so far up her ass, it's impossible to focus. I mean, I GET that this was all a stylistic choice, etc. That the sporadic, all over the place, SHITTY sentence structure was supposed to reflect Juliette's instability, or whatever the fuck it was supposed to reflect, but I just can't get behind starting a sentence with ""4,"" my friends. Add to that the insta-love between Juliette and Adam and the spindly world-building of a completely unclear and poorly wrought dystopian society and you have a wreck of a book that merely has a pretty cover. Now I am left with the crushing decision of whether or not I try book two (since I, like an idiot, already bought it) or if I just march the whole trilogy down to my favorite used book store and hope the fact that this series is about to have a new book published gets me top dollar. Decisions, decisions."
5,0,"4/5 stars.The only reason I gave this book 4 and not 5 stars is because I really dislike Adam and Juliette as a couple.Juliette “loved” Adam because he was the only one who was nice to her, the only one who noticed her when they were kids. It hasn't changed. He can touch her, and she- the girl who has never been touched, the girl whose whole life she wanted to feel loved- she “fell in love” with him.Now, I'm pretty sure she's confused between love and this new feeling she loves, the feeling that someone touches her and that someone loves her.She’s a poor girl after all, she never felt how a person cared about her, I can understand why she’s so sure she’s in love with Adam.Adam himself, well, let’s say I'm not so fond of him when he's with her. He’s insanely cringe in my opinion. The way he always wanted her, the way he looked for her everywhere. I’m sorry, It's too cliche, yuck.And Juliet? You may notice that she enjoys his touch more than him specifically. It's not love. Come on. Nope.But I really like Adam in general, he’s very sweet. And of course Juliette loves Adam in general, but... I don’t think their love is true. Idk, let’s see how it’ll work out.The plot itself was amazing. The idea is amazing. Kenji is amazing. Warner is amazing. Oh, Warner is SO AMAZING. He's a cute psychopath, it's the perfect combination. I love you Warner. Ooookaayyy, I'm ready for the second book."
6,1,"“I always wonder about raindrops.I wonder about how they're always falling down, tripping over their own feet, breaking their legs and forgetting their parachutes as they tumble right out of the sky toward an uncertain end. It's like someone is emptying their pockets over the earth and doesn't seem to care where the contents fall, doesn't seem to care that the raindrops burst when they hit the ground, that they shatter when they fall to the floor, that people curse the days the drops dare to tap on their doors.I am a raindrop.My parents emptied their pockets of me and left me to evaporate on a concrete slab.” Here lies Steph Sinclair, slaughtered by metaphors raindrops."
7,5,"*reread for a special vid* —————————————-(Reread)finally writing a review for one of my favourite series of all time. Shatter me, especially the first book has in my opinion alot of death and emotions, mostly dark sad and depressed ones in this book but I think it is a great representation of what it would feel like to be locked up for so long without being able to touch another person. her reaction to the other person, Adam, is very realistic and the way Juliette is obsessed with numbers makes alot of sense. The enemy in this book is great and obviously the sarcastic best friend bring joy to this book. Cannot wait to have others experience the character development and overall growth that juliette goes through"
8,1,"Oh, Juliette, SHUT THE FUCK UP ALREADY. Insufferable whiny bitch."
9,1,this book is what i see in the corner of my room while having sleep paralysis
